record_id,Model,Year,Region,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,revenue_USD
129,X6,2024,North America,Petrol,Manual,2.4,120004,109733,8345,915721885
130,X3,2022,Asia,Diesel,Manual,4,160878,53997,2162,116741514
131,i8,2010,North America,Electric,Automatic,2.5,75457,101282,8396,850363672
132,5 Series,2018,Middle East,Petrol,Automatic,3.3,45371,87345,1299,113461155
133,X5,2016,Europe,Petrol,Automatic,4.7,182118,64095,3880,248688600
134,X6,2018,Europe,Hybrid,Manual,1.7,10316,117764,5637,663835668
135,X5,2017,South America,Petrol,Automatic,4.3,169491,40275,8394,338068350
136,X6,2010,Africa,Petrol,Manual,1.7,176650,33796,5935,200579260
137,7 Series,2021,South America,Petrol,Automatic,1.9,68969,111071,5908,656207468
138,X6,2017,South America,Hybrid,Manual,1.9,111235,39627,3147,124706169
139,M5,2017,Asia,Diesel,Manual,5,51891,103316,1732,178943312
140,i3,2024,South America,Hybrid,Automatic,2.1,197241,106619,719,76659061
141,i3,2020,South America,Hybrid,Automatic,4.6,47754,36666,1460,53532360
142,M5,2012,Europe,Electric,Manual,5,86899,56202,3235,181813470
143,M5,2010,South America,Diesel,Manual,2.8,121393,108152,7139,772097128
144,i3,2017,North America,Hybrid,Manual,3.7,70038,102447,2694,275992218
145,X5,2012,North America,Petrol,Automatic,4.2,172752,85983,3403,292600149
146,i3,2012,Africa,Petrol,Automatic,2.9,93629,99958,8216,821254928
147,3 Series,2010,Asia,Petrol,Manual,2.1,107572,86660,8650,749609000
148,3 Series,2020,North America,Hybrid,Automatic,3,158046,78509,8070,633567630
149,X6,2014,Middle East,Electric,Automatic,4.2,3374,84798,169,14330862
150,5 Series,2019,South America,Hybrid,Manual,4.2,132625,88464,6353,562011792
151,i3,2016,North America,Petrol,Manual,2.3,91458,33185,8634,286519290
152,M5,2019,Europe,Hybrid,Automatic,2.1,252,66606,1684,112164504
153,7 Series,2018,Middle East,Electric,Automatic,4.7,38502,85604,5312,454728448
154,M3,2021,North America,Diesel,Manual,1.7,54226,116198,7059,820241682
155,X1,2016,Africa,Petrol,Manual,4.1,172950,119996,9620,1154361520
156,3 Series,2018,Asia,Hybrid,Automatic,1.7,19899,50651,8157,413160207
157,7 Series,2017,Europe,Petrol,Manual,4.4,185687,106473,8666,922695018
158,X1,2021,Africa,Hybrid,Automatic,4.7,190652,41920,2600,108992000
159,5 Series,2011,Europe,Diesel,Automatic,2.5,116859,103384,9334,964986256
160,5 Series,2010,Europe,Petrol,Manual,1.8,194101,34120,1344,45857280
161,5 Series,2016,Europe,Petrol,Manual,3.2,167770,119412,8291,990044892
162,X3,2016,South America,Diesel,Manual,2.5,143519,34749,7553,262459197
163,M5,2023,Asia,Electric,Manual,3,130509,94884,9645,915156180
164,3 Series,2017,Europe,Petrol,Manual,3.8,89365,86684,9474,821244216
165,X3,2014,Middle East,Petrol,Manual,2.2,80167,60899,8000,487192000
166,5 Series,2012,Asia,Diesel,Automatic,2.7,124260,39501,6584,260074584
167,7 Series,2021,Europe,Diesel,Automatic,4.2,83191,60731,6249,379508019
168,i8,2017,Middle East,Petrol,Manual,3.8,110899,71690,1697,121657930
169,i3,2015,Middle East,Diesel,Manual,2.6,67021,58894,6072,357604368
170,3 Series,2020,South America,Electric,Automatic,3.8,55451,79774,1142,91101908
171,7 Series,2012,North America,Hybrid,Automatic,4.2,178603,42764,9856,421481984
172,i3,2010,Africa,Petrol,Manual,3.6,91061,45834,7607,348659238
173,X3,2012,North America,Diesel,Automatic,2.3,121703,116468,8333,970527844
174,M5,2014,Africa,Petrol,Manual,1.5,88800,59448,3877,230479896
175,3 Series,2024,Africa,Electric,Manual,4.3,69653,113482,4956,562416792
176,X5,2023,South America,Diesel,Manual,4.4,183143,86846,5598,486163908
177,X1,2012,Europe,Electric,Manual,3.9,63716,74494,6791,505888754
178,i3,2010,Africa,Diesel,Manual,1.8,120482,101137,968,97900616
179,X1,2014,South America,Hybrid,Automatic,3.5,148268,109617,8217,900722889
180,3 Series,2019,Africa,Electric,Manual,4.4,33051,108637,5548,602718076
181,M5,2016,Asia,Diesel,Automatic,2.9,163812,88181,148,13050788
182,3 Series,2024,South America,Hybrid,Automatic,2.2,69698,79650,6447,513503550
183,X3,2023,South America,Petrol,Automatic,3.6,156141,51627,6673,344506971
184,X5,2016,North America,Hybrid,Automatic,4.4,118309,99967,8127,812431809
185,X6,2020,Europe,Diesel,Automatic,1.7,64180,32120,9970,320236400
186,i3,2018,Asia,Hybrid,Manual,3.6,198246,91547,9832,900090104
187,X1,2024,Asia,Hybrid,Automatic,3.8,198285,102818,3880,398933840
188,5 Series,2024,Middle East,Petrol,Manual,3.6,120789,49279,9951,490375329
189,5 Series,2019,Middle East,Petrol,Automatic,3.8,178723,36571,7403,270735113
190,i8,2019,Middle East,Diesel,Manual,3.7,124371,96066,8537,820115442
191,X3,2021,Europe,Hybrid,Manual,2,126258,32119,4249,136473631
192,7 Series,2022,Middle East,Diesel,Automatic,2.3,126953,57691,271,15634261
193,3 Series,2012,South America,Petrol,Manual,3.7,78678,96429,6974,672495846
194,X1,2024,Middle East,Electric,Manual,1.6,190540,112644,2922,329145768
195,X1,2016,Africa,Petrol,Automatic,3.7,70187,49010,3433,168251330
196,X5,2010,Asia,Petrol,Automatic,3.8,35565,39793,6620,263429660
197,3 Series,2013,South America,Electric,Automatic,2.3,173100,101189,1476,149354964
198,3 Series,2022,South America,Electric,Automatic,3.6,68978,107968,4129,445799872
199,i3,2013,Asia,Petrol,Automatic,3.4,115144,51327,9128,468512856
200,3 Series,2023,Asia,Diesel,Manual,2.4,58991,84635,3507,296814945
201,X1,2014,Europe,Hybrid,Manual,3.1,48040,77484,9106,705569304
202,3 Series,2016,Europe,Electric,Automatic,4.7,149253,71328,3222,229818816
203,X5,2016,Africa,Electric,Manual,3,146541,72024,9331,672055944
204,X5,2022,Africa,Electric,Automatic,3.7,123227,72436,5761,417303796
205,i3,2024,Middle East,Diesel,Manual,1.6,17798,93997,6920,650459240
206,5 Series,2020,South America,Electric,Manual,1.8,18642,53862,6897,371486214
207,X3,2022,Africa,Petrol,Manual,1.8,10590,105924,5139,544343436
208,M5,2013,North America,Petrol,Manual,4.2,31068,62719,1396,87555724
209,X3,2022,Europe,Petrol,Manual,2.7,197678,49919,491,24510229
210,3 Series,2016,Africa,Petrol,Automatic,2.3,189931,71591,6640,475364240
211,X5,2020,Europe,Diesel,Manual,4.1,127392,86328,8960,773498880
212,X1,2012,Middle East,Electric,Automatic,2.1,180074,42552,5542,235823184
213,3 Series,2015,Europe,Hybrid,Manual,2.4,191042,89156,7342,654583352
214,X1,2021,South America,Diesel,Automatic,3,37616,79927,1057,84482839
215,M3,2011,South America,Petrol,Automatic,2.7,75468,39495,7431,293487345
216,M5,2019,Europe,Petrol,Automatic,3.5,46076,38271,6150,235366650
217,X3,2022,North America,Electric,Manual,2.7,21607,74435,9536,709812160
218,X3,2023,Asia,Petrol,Automatic,2.9,87564,103988,5141,534602308
219,M3,2018,Asia,Electric,Manual,4.5,66023,73953,1659,122688027
220,X3,2014,South America,Hybrid,Manual,4.6,195047,106673,4699,501256427
221,M3,2015,Africa,Diesel,Manual,4.4,152887,42738,6588,281557944
222,X3,2021,Asia,Hybrid,Manual,4.5,122956,53097,1474,78264978
223,X6,2021,South America,Petrol,Automatic,3.5,27659,60936,2428,147952608
224,3 Series,2021,Asia,Hybrid,Manual,3.8,157700,87186,5065,441597090
225,5 Series,2021,Asia,Diesel,Automatic,3.5,133836,38861,9087,353129907
226,3 Series,2013,Asia,Hybrid,Automatic,4.2,10678,33086,5817,192461262
227,X1,2023,Asia,Hybrid,Automatic,3.4,84606,89868,3445,309595260
228,X5,2023,Asia,Electric,Automatic,1.9,34635,87087,3372,293657364
229,i8,2020,North America,Electric,Manual,4.3,191305,70057,7327,513307639
230,X3,2019,Middle East,Electric,Manual,4.2,17934,111173,808,89827784
231,X1,2016,Middle East,Diesel,Automatic,4.4,157249,56309,3076,173206484
232,X1,2021,North America,Petrol,Automatic,2.2,184417,76909,6636,510368124
233,7 Series,2018,Asia,Hybrid,Manual,2.5,31798,58752,3606,211859712
234,i8,2016,North America,Hybrid,Manual,2.5,145112,82447,1206,99431082
235,X1,2023,Asia,Petrol,Manual,3.3,66862,80705,7058,569615890
236,i8,2010,South America,Hybrid,Automatic,2,49903,92666,9368,868095088
237,7 Series,2010,Asia,Petrol,Automatic,2.8,28668,65268,2069,135039492
238,i8,2018,Asia,Petrol,Manual,2.1,61031,116846,6121,715214366
239,X6,2020,South America,Diesel,Automatic,2.4,135437,114860,9792,1124709120
240,X5,2023,North America,Hybrid,Manual,4,83959,43850,9612,421486200
241,7 Series,2018,Africa,Electric,Manual,4.5,198286,96859,8022,777002898
242,X6,2013,Asia,Petrol,Automatic,1.6,74914,107293,3205,343874065
243,M5,2022,North America,Petrol,Automatic,3.5,56293,58700,249,14616300
244,X3,2018,Africa,Hybrid,Automatic,1.6,60574,62253,7350,457559550
245,X1,2012,North America,Electric,Manual,1.8,80289,100980,3581,361609380
246,M5,2016,North America,Electric,Automatic,4,67272,78120,381,29763720
247,M5,2015,North America,Petrol,Manual,4.1,54534,94839,3880,367975320
248,3 Series,2017,North America,Petrol,Manual,4.3,86002,100678,2815,283408570
249,5 Series,2020,Europe,Diesel,Manual,3.2,165669,38170,9239,352652630
250,X1,2018,Africa,Petrol,Automatic,4.5,104441,79035,1036,81880260
251,3 Series,2023,South America,Petrol,Automatic,2.1,190846,56836,5315,302083340
252,M3,2014,Africa,Hybrid,Manual,2.4,180096,33093,2976,98484768
253,X3,2010,North America,Electric,Manual,2,191879,50319,1311,65968209
254,X1,2012,Africa,Electric,Automatic,4.3,185093,108905,5952,648202560
255,i8,2019,Africa,Hybrid,Manual,2.3,187214,31212,3778,117918936
256,3 Series,2021,South America,Electric,Automatic,2,162323,72641,4298,312211018
257,5 Series,2017,Europe,Electric,Manual,3.7,69712,82957,8127,674191539
258,M3,2024,Africa,Hybrid,Manual,1.8,2655,91248,8772,800427456
259,X3,2020,Asia,Hybrid,Manual,1.7,66746,113110,3430,387967300
260,i3,2015,Asia,Diesel,Manual,1.9,90245,34249,8483,290534267
261,7 Series,2017,North America,Hybrid,Manual,1.5,7334,77120,6825,526344000
262,X1,2018,Asia,Hybrid,Manual,3.9,13275,79969,9134,730436846
263,X1,2013,South America,Hybrid,Manual,3.5,128136,101839,125,12729875
264,X5,2010,Africa,Diesel,Automatic,2.2,187108,105887,5236,554424332
265,X5,2023,South America,Diesel,Manual,2.3,162977,31112,2466,76722192
266,7 Series,2010,South America,Petrol,Manual,4.3,52940,51743,4350,225082050
267,X1,2019,Europe,Hybrid,Automatic,3.3,106294,102607,7920,812647440
268,i8,2013,Europe,Diesel,Manual,3.9,106314,113159,113,12786967
269,M3,2021,Asia,Diesel,Automatic,3.1,139850,34852,2275,79288300
270,7 Series,2023,Asia,Diesel,Automatic,2.3,52061,96938,1714,166151732
271,X5,2016,North America,Petrol,Manual,4.9,88027,103663,9847,1020769561
272,3 Series,2011,Asia,Diesel,Automatic,3.5,196822,74108,4182,309919656
273,M5,2012,Asia,Electric,Automatic,2,65212,48461,3244,157207484
274,X3,2010,Middle East,Diesel,Automatic,2.9,35130,113525,6461,733485025
275,M3,2014,Europe,Hybrid,Automatic,2.7,129742,111245,9520,1059052400
276,X3,2010,South America,Electric,Automatic,2.2,73482,61329,4579,280825491
277,X5,2017,Africa,Petrol,Automatic,4.8,32268,68638,7530,516844140
278,X5,2010,North America,Diesel,Manual,4.6,53211,116928,9850,1151740800
279,M3,2020,South America,Petrol,Manual,2.2,154481,100103,9122,913139566
280,7 Series,2010,South America,Hybrid,Manual,2.7,147526,35576,1916,68163616
281,X1,2011,South America,Diesel,Manual,4.2,183658,52709,3813,200979417
282,i3,2011,North America,Electric,Automatic,2.2,131725,73410,6205,455509050
283,M5,2021,South America,Electric,Manual,3.6,50949,40782,6688,272750016
284,i3,2015,Europe,Electric,Manual,3.9,20717,79002,1402,110760804
285,5 Series,2016,Middle East,Petrol,Manual,3.8,135036,38344,8273,317219912
286,M3,2014,Europe,Petrol,Manual,4,29746,103056,7577,780855312
287,M3,2010,Europe,Hybrid,Manual,4,87426,60458,9098,550046884
288,M5,2010,Europe,Diesel,Manual,4.9,28560,32486,4427,143815522
289,X5,2012,North America,Diesel,Manual,2.7,68627,65633,9311,611108863
290,3 Series,2023,Africa,Petrol,Manual,4.6,95366,101460,3182,322845720
291,i3,2011,Africa,Diesel,Manual,1.6,97680,115240,5797,668046280
292,X3,2014,Africa,Diesel,Manual,2.5,198457,114845,577,66265565
293,i3,2021,Europe,Hybrid,Automatic,1.7,129001,105938,3288,348324144
294,X3,2019,South America,Electric,Manual,3.8,171481,42383,7041,298418703
295,i8,2015,Africa,Diesel,Manual,1.9,60913,43439,5284,229531676
296,i8,2016,Europe,Petrol,Manual,4.5,191604,59627,9454,563713658
297,5 Series,2013,Asia,Hybrid,Automatic,3.8,45722,74501,6935,516664435
298,M3,2016,Middle East,Electric,Manual,1.6,38412,81786,5058,413673588
299,3 Series,2020,South America,Diesel,Manual,4,175591,64007,7793,498806551
300,M3,2017,North America,Petrol,Manual,4.5,164356,36497,2353,85877441
301,X6,2020,Asia,Hybrid,Automatic,3.8,45712,90061,4643,418153223
302,X1,2010,Africa,Diesel,Automatic,1.6,100516,49598,1252,62096696
303,i3,2024,South America,Hybrid,Automatic,4.5,57231,47994,1675,80389950
304,M5,2015,Asia,Petrol,Automatic,4.1,95889,52950,6177,327072150
305,M5,2017,Middle East,Diesel,Automatic,2.8,55643,96914,4669,452491466
306,i3,2014,South America,Diesel,Automatic,2.7,22417,98122,5178,508075716
307,M5,2013,Asia,Diesel,Automatic,3.2,193534,70907,8254,585266378
308,M3,2011,South America,Petrol,Manual,4.5,137855,96941,6712,650667992
309,i8,2015,Asia,Hybrid,Automatic,2.4,6365,30074,2845,85560530
310,M3,2015,North America,Electric,Automatic,1.9,167647,88780,4997,443633660
311,3 Series,2020,Middle East,Petrol,Manual,4.5,105037,73453,7286,535178558
312,i3,2024,South America,Hybrid,Manual,1.6,128016,107658,9124,982271592
313,X6,2010,Europe,Hybrid,Manual,4.7,7762,61914,5045,312356130
314,X6,2018,South America,Diesel,Manual,2.6,40764,116735,4709,549705115
315,i3,2021,Europe,Hybrid,Automatic,3.3,24238,111742,1482,165601644
316,M5,2020,Africa,Petrol,Automatic,2,195911,64700,3134,202769800
317,X3,2015,Middle East,Diesel,Automatic,4.7,134039,70672,6856,484527232
318,3 Series,2022,Middle East,Petrol,Automatic,4.1,116572,47284,3730,176369320
319,M3,2012,Europe,Diesel,Manual,4.7,194359,93837,8190,768525030
320,7 Series,2013,Africa,Diesel,Manual,3.9,143864,74401,9067,674593867
321,3 Series,2021,South America,Hybrid,Automatic,2.1,37246,112265,5726,642829390
322,7 Series,2020,Asia,Petrol,Automatic,2.6,188234,71570,3284,235035880
323,i8,2013,Europe,Hybrid,Automatic,3.2,110079,70118,7254,508635972
324,i3,2012,Middle East,Petrol,Automatic,3.6,53579,80919,2377,192344463
325,M5,2019,Asia,Hybrid,Automatic,4.7,164678,49840,1883,93848720
326,3 Series,2012,South America,Petrol,Manual,2.8,137794,99478,520,51728560
327,X1,2024,Europe,Diesel,Manual,4,87263,71666,8913,638759058
328,i3,2012,Africa,Diesel,Manual,4.9,86785,99512,2353,234151736
329,X3,2013,South America,Petrol,Manual,2,156944,55881,6169,344729889
330,M5,2016,Africa,Diesel,Automatic,4.5,39593,109963,113,12425819
331,X5,2013,Europe,Diesel,Automatic,3,162617,79299,2353,186590547
332,i3,2018,Africa,Diesel,Manual,4.1,180348,46141,8132,375218612
333,X1,2010,Europe,Electric,Manual,2.5,97558,101553,1718,174468054
334,3 Series,2017,Africa,Diesel,Manual,2.7,124960,115369,5481,632337489
335,X6,2016,Europe,Electric,Manual,1.6,28972,89763,7436,667477668
336,X5,2011,Europe,Petrol,Automatic,4.9,141616,117994,6327,746548038
337,i3,2017,Asia,Diesel,Manual,4.3,42089,99138,5415,536832270
338,X5,2010,North America,Diesel,Manual,1.8,102510,107741,2737,294887117
339,X1,2020,Europe,Petrol,Automatic,5,64144,39207,4488,175961016
340,5 Series,2021,North America,Hybrid,Automatic,3.6,166252,52030,1849,96203470
341,X5,2018,Asia,Petrol,Manual,4.5,106246,72271,6300,455307300
342,X1,2018,Europe,Petrol,Manual,1.7,25059,42749,3108,132863892
343,M3,2011,Africa,Hybrid,Manual,2.9,49603,80312,2792,224231104
344,i3,2016,Middle East,Hybrid,Manual,3.8,134173,89891,3901,350664791
345,i3,2024,Asia,Petrol,Manual,1.9,42153,62609,897,56160273
346,i3,2023,Europe,Hybrid,Automatic,3.2,136858,54036,3108,167943888
347,X6,2019,Africa,Hybrid,Manual,3,199006,116494,9003,1048795482
348,3 Series,2012,Africa,Electric,Automatic,2.3,190156,116827,9454,1104482458
349,X6,2016,Africa,Petrol,Automatic,2.6,160714,115705,7064,817340120
350,5 Series,2021,North America,Petrol,Manual,4.9,128242,51552,4585,236365920
351,7 Series,2019,North America,Hybrid,Automatic,2.5,40052,32230,4515,145518450
352,i8,2018,Asia,Petrol,Manual,2.2,126505,92606,9586,887721116
353,i8,2013,Middle East,Hybrid,Automatic,3.4,149450,97301,9597,933797697
354,i8,2021,Africa,Diesel,Manual,3.8,164473,102381,9156,937400436
355,5 Series,2010,South America,Electric,Automatic,4,9951,39129,8440,330248760
356,3 Series,2011,North America,Hybrid,Automatic,4.1,146359,105042,2463,258718446
357,i8,2010,South America,Diesel,Manual,1.6,76908,48463,3398,164677274
358,X6,2023,South America,Petrol,Automatic,2.9,167411,94959,8066,765939294
359,X5,2021,Asia,Diesel,Manual,4.2,48241,106595,5829,621342255
